id, pergunta, resposta
31, "Quais as condições para que a palavra da vítima possua valor probante nos crimes de violência doméstica e violência contra a mulher?", "A vítima tem que ser segura, firme e coerente com os fatos narrados e não pode se contradizer."
32, "Qual o elemento subjetivo nos crimes de abandono de incapaz e abandono de recém-nascido?", "No abandono de incapaz o elemento subjetivo é o dolo de abandonar e expor ao perigo. No abandono de recém-nascido o elemento subjetivo é ocultar desonra."
33, "Diferencie omissão própria e omissão imprópria, esclarecendo a responsabilidade penal do garantidor que se omite.", "Omissão própria é cometida por um autor não garantidor e omissão imprópria é cometida por um garantidor, nesse caso, o autor garantidor responderá pelo resultado de sua omissão."
34, "Diferencie: calúnia, difamação e injúria.", "Calúnia e difamação são imputações de fato / Calúnia: é o ato de acusar alguém de ter cometido um crime, sendo isso uma mentira e configura-se crime / Difamação: é um fato ofensivo à reputação de alguém, não é um crime e pode ou não ser verdade / Injúria é o ato de ofender alguém, podendo ser crime ou não, verdade ou não."
35, "Quais as hipóteses de 'imunidades' (escusas absolutórias) nos crimes contra a honra?", "Parecer desfavorável de funcionário público em cumprimento de dever legal / Crítica artística e científica / Ofensa irrogada em juízo pelas partes ou procuradores."
36, "Quais as formas do crime de bullying (intimidação sistemática)?", "Bullying (presencial) / Cyberbullying (virtual)."
37, "Qual a ação penal nos crimes de ameaça e perseguição?", "Ação penal pública condicionada."
38, "Qual a ação nuclear do crime de violência psicológica contra mulher?", "Causar dano emocional à mulher."
39, "O que são crimes permanentes? Cite um exemplo e esclareça quando começa a contagem do prazo prescricional nos crimes permanentes.", "Crimes permanentes são aqueles cuja consumação se prolonga no tempo. Ex: sequestro e cárcere privado. A contagem do prazo prescricional começa a partir do fim da permanência."
40, "Quais as seis modalidades do crime de redução à condição análoga à de escravo?", "Trabalhos forçados / Restrição de liberdade / Jornada exaustiva / Vigilância ostensiva / Condições degradantes / Retenção de documentos."
41, "Quais as modalidades do crime de tráfico de pessoas?", "Tráfico de órgãos / Trabalho escravo / Servidão / Adoção ilegal / Exploração sexual."
42, "Qual o conceito penal de domicílio?", "Qualquer compartimento habitado / Habitações coletivas / Local não aberto ao público onde alguém exerce atividade."
43, "Quais as hipóteses legais e constitucionais de violação do domicílio?", "Flagrante delito / Desastre / Socorro / Determinação judicial."
44, "Qual a ação penal no crime de invasão de dispositivo informático?", "Ação penal pública condicionada."
45, "Quais as sete circunstâncias qualificadoras no crime de furto presentes no artigo 155 §4º?", "Furto com destruição ou rompimento de obstáculo / Com abuso de confiança, ou mediante grande escalada ou destreza / Com emprego de chave falsa / Mediante concurso de duas ou mais pessoas."
46, "Quando será aplicável o princípio da insignificância, como excludente da tipicidade material, ao crime de furto?", "Quando a coisa furtada for até 10% do salário mínimo."
47, "Quais as três modalidades do crime de roubo simples?", "Violência / Grave ameaça / Impossibilidade de resistência."
48, "Quando ocorre a consumação nos crimes de furto, roubo e latrocínio?", "Furto e roubo: com a inversão da posse da coisa / Latrocínio: com a morte da vítima."
49, "Diferencie: crime de sequestro (artigo 148) e crime de extorsão mediante sequestro (artigo 159).", "Sequestro: privar alguém de sua liberdade / Extorsão mediante sequestro: sequestrar alguém com o objetivo de obter vantagem para si ou para outrem, como condição ou preço de resgate."
50, "Quais as quatro qualificadoras do crime de dano?", "Violência ou grave ameaça / Substância inflamável ou explosiva / Patrimônio público / Motivo egoístico ou considerável prejuízo para a vítima."
51, "Diferencie: furto mediante fraude, apropriação indébita e estelionato.", "Furto mediante fraude: não ocorre a transmissão legítima da coisa, existe uma fraude para distrair a vítima / Apropriação indébita: há a transmissão legítima da posse, que não é restituída, a pessoa acredita que a coisa será devolvida / Estelionato: o objetivo é enganar a vítima para que esta transfira o bem."
52, "Qual a ação penal no crime de estelionato? Cite a regra e as quatro exceções.", "Em regra é pública condicionada. Exceções: / Contra administração pública / Contra criança e adolescente / Contra pessoa com deficiência mental / Contra maior de 70 anos ou incapaz."
53, "Quais as causas de isenção de pena ('imunidades absolutas') nos crimes contra o patrimônio e suas exceções?", "Cônjuge na constância da sociedade conjugal / Ascendentes ou descendentes. Exceções: / Roubo / Extorsão e crimes praticados mediante violência ou grave ameaça / Estranho que participa do crime / Vítima maior de 60 anos."
54, "Quais as 'imunidades relativas' nos crimes contra o patrimônio?", "Cônjuges divorciados / Tios e sobrinhos que coabitam / Irmãos."
55, "Pergunta não cadastrada.", "Respostas não cadastrada."
56, "Pergunta não cadastrada.", "Respostas não cadastrada."
57, "Pergunta não cadastrada.", "Respostas não cadastrada."
58, "Quando ocorre a consumação no crime de estupro?", "A consumação ocorre com a penetração (ainda que parcial) ou, em caso de atos sem penetração, com a prática do ato."
59, "Pergunta não cadastrada.", "Respostas não cadastrada."
60, "Pergunta não cadastrada.", "Respostas não cadastrada."
61, "Quais as três categorias de pessoas sexualmente vulneráveis?", "Menores de 14 anos / Doentes e deficientes mentais sem discernimento / Pessoas que não podem oferecer resistência."
62, "Cite três medidas legislativas adotadas após o caso Mariana Ferrer para enfrentamento da vitimização secundária.", "Crime de abuso de autoridade em razão da violência institucional / Proibição de ofensas à integridade física e psicológica da vítima / Proibição de discussão de fatos alheios aos apurados."
63, "Qual a solução para o erro de tipo no crime de estupro de vulnerável?", "O erro de tipo afasta o dolo e como não há previsão de punição de estupro de vulnerável na forma culposa, a conduta será atípica."
64, "Qual a responsabilidade penal dos garantidores omitentes no crime de estupro de vulnerável (art. 217-A)?", "O garantidor omitente responderá por estupro de vulnerável."
